"scenario_id","scenario_label","criterion_type","criterion_name","threshold_or_rule","role_in_model","source_logic"
"high_acceptance","Hog acceptans","Landscape context","High agricultural plateau","Higher score for elevated open plateau-like settings","Contextual weighting","gc_high_agri_plateau_proxy from v3.2"
"high_acceptance","Hog acceptans","Landscape context","Open terrain","Higher score for lower contour-derived slope","Contextual weighting","gc_contour_mean_slope_deg from v3.2"
"medium_acceptance","Mellan acceptans","Hard exclusion","Settlement proximity","Exclude at <= 300 m from settlement, housing and fastboende proxies","No-go within scenario","Fastboende points, buildings low/high, built centre, built low selection"
"medium_acceptance","Mellan acceptans","Distance conflict","Large roads clearance","Exclude at <= 100 m from large roads","No-go within scenario","Roads simplified using derived large road class"
"medium_acceptance","Mellan acceptans","Distance conflict","Medium roads clearance","Exclude at <= 50 m from medium roads","No-go within scenario","Roads simplified using derived medium road class"
"medium_acceptance","Mellan acceptans","Feasibility","Electrical connection distance","Require <= 5000 m to nearest selected electrical infrastructure","Keep candidate area","Minimum distance to high-voltage line, substation, underground cable or existing wind turbine"
"medium_acceptance","Mellan acceptans","Hard exclusion","3 km coastal zone","Exclude on overlap with Kystnaerhedszonen 3 km","No-go within scenario","Coastal zone - Kystnaerhedszonen 3 km (Miljoministeriet / PLST)"
"medium_acceptance","Mellan acceptans","Hard exclusion","Cultural environment","Exclude on overlap","No-go","Cultural preservation, valuable cultural environment, cultural-historical conservation"
"medium_acceptance","Mellan acceptans","Hard exclusion","Protected nature","Exclude on overlap","No-go","Protected areas, Natura designated land, Natura bird protection, Natura habitat, Ramsar, natur/vildt-reservat"
"medium_acceptance","Mellan acceptans","Hard exclusion","Military areas","Exclude on overlap","No-go","Military areas (PLST)"
"medium_acceptance","Mellan acceptans","Hard exclusion","Aviation approach","Exclude on overlap","No-go","Aviation approach zones (TST)"
"medium_acceptance","Mellan acceptans","Hard exclusion","Strand protection","Exclude on overlap","No-go","Strandbeskyttelse (MST/GDS)"
"medium_acceptance","Mellan acceptans","Feasibility","Electrical proximity ranking","Higher score close to <= 7 km","Positive feasibility","Nearest selected electrical infrastructure"
"medium_acceptance","Mellan acceptans","Soft preference","Settlement clearance","Higher score beyond 4 km from all settlement features","Negative avoidance","Distance to population and all building proxies"
"medium_acceptance","Mellan acceptans","Soft preference","Transport clearance","Higher score beyond 1.5 km from selected transport corridors","Negative avoidance","Distance to medium and large roads"
"medium_acceptance","Mellan acceptans","Soft preference","Protected-edge clearance","Higher score beyond 1.5 km","Negative avoidance","Distance to protected-nature polygons"
"medium_acceptance","Mellan acceptans","Soft preference","Culture clearance","Higher score beyond 1.5 km","Negative avoidance","Distance to cultural polygons"
"medium_acceptance","Mellan acceptans","Landscape context","Landscape cluster compatibility","Cluster 2 highest preference; clusters 1,3,4,5 increasingly constrained","Contextual weighting","Landscape-analysis cluster class"
"medium_acceptance","Mellan acceptans","Landscape context","High agricultural plateau","Higher score for elevated open plateau-like settings","Contextual weighting","gc_high_agri_plateau_proxy from v3.2"
"medium_acceptance","Mellan acceptans","Landscape context","Open terrain","Higher score for lower contour-derived slope","Contextual weighting","gc_contour_mean_slope_deg from v3.2"
"low_acceptance","Lag acceptans","Hard exclusion","Settlement proximity","Exclude at <= 600 m from settlement, housing and fastboende proxies","No-go within scenario","Fastboende points, buildings low/high, built centre, built low selection"
"low_acceptance","Lag acceptans","Distance conflict","Large roads clearance","Exclude at <= 175 m from large roads","No-go within scenario","Roads simplified using derived large road class"
"low_acceptance","Lag acceptans","Distance conflict","Medium roads clearance","Exclude at <= 100 m from medium roads","No-go within scenario","Roads simplified using derived medium road class"
"low_acceptance","Lag acceptans","Feasibility","Electrical connection distance","Require <= 3000 m to nearest selected electrical infrastructure","Keep candidate area","Minimum distance to high-voltage line, substation, underground cable or existing wind turbine"
"low_acceptance","Lag acceptans","Hard exclusion","3 km coastal zone","Exclude on overlap with Kystnaerhedszonen 3 km","No-go within scenario","Coastal zone - Kystnaerhedszonen 3 km (Miljoministeriet / PLST)"
"low_acceptance","Lag acceptans","Distance conflict","Aviation bird-collision clearance","Exclude at <= 2000 m from aviation bird-collision zones","No-go within scenario","Aviation bird-collision zones (TST)"
"low_acceptance","Lag acceptans","Soft preference","Aviation bird-collision clearance","Higher score beyond 2 km","Negative avoidance","Distance to aviation bird-collision zones"
"low_acceptance","Lag acceptans","Hard exclusion","Cultural environment","Exclude on overlap","No-go","Cultural preservation, valuable cultural environment, cultural-historical conservation"
"low_acceptance","Lag acceptans","Hard exclusion","Protected nature","Exclude on overlap","No-go","Protected areas, Natura designated land, Natura bird protection, Natura habitat, Ramsar, natur/vildt-reservat"
"low_acceptance","Lag acceptans","Hard exclusion","Military areas","Exclude on overlap","No-go","Military areas (PLST)"
"low_acceptance","Lag acceptans","Hard exclusion","Aviation approach","Exclude on overlap","No-go","Aviation approach zones (TST)"
"low_acceptance","Lag acceptans","Hard exclusion","Strand protection","Exclude on overlap","No-go","Strandbeskyttelse (MST/GDS)"
"low_acceptance","Lag acceptans","Feasibility","Electrical proximity ranking","Higher score close to <= 7 km","Positive feasibility","Nearest selected electrical infrastructure"
"low_acceptance","Lag acceptans","Soft preference","Settlement clearance","Higher score beyond 4 km from all settlement features","Negative avoidance","Distance to population and all building proxies"
"low_acceptance","Lag acceptans","Soft preference","Transport clearance","Higher score beyond 1.5 km from selected transport corridors","Negative avoidance","Distance to medium and large roads"
"low_acceptance","Lag acceptans","Soft preference","Protected-edge clearance","Higher score beyond 1.5 km","Negative avoidance","Distance to protected-nature polygons"
"low_acceptance","Lag acceptans","Soft preference","Culture clearance","Higher score beyond 1.5 km","Negative avoidance","Distance to cultural polygons"
"low_acceptance","Lag acceptans","Landscape context","Landscape cluster compatibility","Cluster 2 highest preference; clusters 1,3,4,5 increasingly constrained","Contextual weighting","Landscape-analysis cluster class"
"low_acceptance","Lag acceptans","Landscape context","High agricultural plateau","Higher score for elevated open plateau-like settings","Contextual weighting","gc_high_agri_plateau_proxy from v3.2"
"low_acceptance","Lag acceptans","Landscape context","Open terrain","Higher score for lower contour-derived slope","Contextual weighting","gc_contour_mean_slope_deg from v3.2"
