state_key_pattern,owner,scope,draft_or_applied,source_file,line_refs,created_or_seeded,applied_or_read_by,reset_region_behavior,v3_recommendation,notes
"wind_control__visual_source__{group_id}","wind","map layer visibility","form-draft/applied-after-submit","potential_app.py","7906-7907; 7910-7937; 8138-8148","Created as Streamlit form checkbox key.","Read by _wind_visual_options_from_state and wind preview after submit.","Seeded in _prime_wind_builder_state/defaults.","Replace with wind draft/applied layer_visibility.source_group_ids.","Controls source overlays separately from analysis selection."
"wind_control__visual_buffer__{group_id}","wind","map layer visibility","form-draft/applied-after-submit","potential_app.py","7906-7907; 7910-7937; 8138-8148","Created as Streamlit form checkbox key.","Read by _wind_visual_options_from_state and wind preview after submit.","Seeded in _prime_wind_builder_state/defaults.","Replace with wind draft/applied layer_visibility.buffer_group_ids.","Controls buffer/group overlays separately from analysis selection."
"wind_empty_selection_active","wind","workspace","applied-ish flag","potential_app.py","181; 4096; 8161-8163","Set when applying wind controls with no selected layers.","Read by wind preview to decide empty-selection behavior.","Reset false in _ensure_default_start_state.","Keep as derived flag in applied wind state, or compute from selected layers.","Needs explicit AppTest for empty selection."
"potential_workspace_render_cache_v2","workspace","cache","rendered snapshot","potential_app.py","168; 2280-2293; 11676-11718; 13457-13477","Written after workspace render with fingerprint and map_state.","Read for UI-only reruns when fingerprint matches.","Invalidated by apply/reset and calculation changes.","Port as RenderedAnalysisSnapshot cache keyed by applied fingerprint.","Good pattern, but should be typed."
"potential_ui_only_rerun","workspace","ui-only rerun","ui-only","potential_app.py","166; 2202-2217; 2412-2469; 3590-3645; 12685-12699","Set by panel and opacity UI callbacks.","Allows reuse of cached workspace outputs.","Cleared by _invalidate_workspace_cache or cache handling.","Keep as separate UI state, not analysis state.","Prevents recalculation on pure presentation changes."
"potential_ui_only_rerun_reason","workspace","ui-only rerun","ui-only","potential_app.py","167; 2202-2217","Set together with potential_ui_only_rerun.","Debug/context for cache reuse.","Cleared when invalidating cache.","Optional in V3; useful for diagnostics.","Not part of analysis fingerprint."
"combined_h3_display_mode","map/geography","display resolution","applied/display","potential_app.py","4104-4105; 4494-4566","Set to current/default in _ensure_default_start_state.","Read by map controls and included in calculation/render path.","Reset to current in _ensure_default_start_state.","Keep as applied display state if it changes rendered map/result aggregation.","For Trøndelag supported display resolutions are R7/R6/R5, not R9."
"combined_h3_resolution","map/geography","display resolution","applied/display","potential_app.py","4104-4105; 4494-4566","Set to 7/default in _ensure_default_start_state.","Read by map/analysis flow.","Reset to 7 in _ensure_default_start_state.","Keep applied; changing it should rebuild snapshot.","Must enforce Trøndelag R7/R6/R5 only."
"potential_selected_region_id","workspace","region","applied app context","potential_app.py","174; 12347-12352","Set by region selector/default region.","Drives manifests, registry selection and default state version.","Region-specific default version key controls initialization.","Keep as top-level app context and namespace all draft/applied state by region.","Registry selection also uses this key in acceptance_model.layers."
"potential_start_default_version_{region_id}","workspace","reset/version","default guard","potential_app.py","180; 4088-4135","Set after defaults have been applied for a region/version.","Read to avoid reapplying defaults every rerun.","Changing START_DEFAULT_VERSION forces default path.","Keep a migration/default schema version per region.","Useful, but should not be the only reset mechanism."
"potential_left_panel_open","layout","panel state","ui-only","potential_app.py","158; 2412-2469","Set by panel controls.","Read by layout rendering only.","Not reset as analysis state.","Keep outside applied analysis state.","UI-only."
"potential_right_panel_open","layout","panel state","ui-only","potential_app.py","159; 2412-2469","Set by panel controls.","Read by layout rendering only.","Not reset as analysis state.","Keep outside applied analysis state.","UI-only."
"potential_right_panel_width_pct","layout","panel state","ui-only","potential_app.py","160; 2412-2469","Set by panel width control.","Read by layout rendering only.","Not reset as analysis state.","Keep outside applied analysis state.","UI-only."
"potential_map_view_reset_token","map","view state","ui-only/map view","potential_app.py","156; 4494-4566; 7447-7476","Incremented/used when map view should reset.","Passed to renderer as map_reset_token.","Reset behavior tied to map controls.","Keep separate from analysis state.","Leaflet localStorage uses token to clear saved view."
"show_social_acceptance","social acceptance","workspace","live/applied direct","potential_app.py","4109-4113; 12580-12631","Default false in _ensure_default_start_state; widget writes directly.","Included in calculation/render path and fingerprint.","Reset false by _ensure_default_start_state.","Decide: either keep as explicit live control or move into draft/apply.","Current V2 behavior differs from solar/wind apply model."
"social_acceptance_scenario_{region_id}","social acceptance","workspace","live/applied direct","potential_app.py","3433-3483; 12580-12631","Widget writes directly when social acceptance panel is used.","Included in social acceptance layer/analysis state.","Region-specific key, hidden by default at startup.","Prefer applied state if V3 makes all analysis controls apply-gated.","Trøndelag manifest is synthetic/placeholder-like."
"social_acceptance_impact_pct_{region_id}","social acceptance","workspace","live/applied direct","potential_app.py","3433-3483; 12580-12631","Widget writes directly.","Included in calculation fingerprint.","Region-specific key.","Move into draft/applied or mark live explicitly.","Currently not behind Använd ändringar."
"social_acceptance_allocation_priority_pct_{region_id}","social acceptance","workspace","live/applied direct","potential_app.py","3433-3483; 12580-12631","Widget writes directly.","Included in calculation fingerprint.","Region-specific key.","Move into draft/applied or mark live explicitly.","Currently not behind Använd ändringar."
"analysis__{group_id}","standalone acceptance_app","prototype","form-draft/applied-after-submit","apps/acceptance_app.py","58-65; 84-137; 253-299","Initialized in _init_state and rendered in form.","Runtime payload reads after form submit/rerun.","No region-aware reset beyond prototype init.","Use only as historical reference; replace with typed V3 state.","Prototype shows apply intent but lacks explicit applied object."
"blend__{group_id}","standalone acceptance_app","prototype/display","form-draft/applied-after-submit","apps/acceptance_app.py","58-65; 84-137","Initialized in _init_state and rendered in form.","Controls display blend in prototype overlays.","No region-aware reset beyond prototype init.","Do not port unless V3 needs blend UI.","Display-only concept, less relevant to unified app."
"layer__{layer_id}","standalone acceptance_app","prototype/source layers","form-draft/applied-after-submit","apps/acceptance_app.py","58-65; 84-137","Initialized in _init_state and rendered in form.","Runtime payload/source overlays read after submit.","No region-aware reset beyond prototype init.","Use registry idea, not loose key shape.","Superseded by unified wind controls."
